Time X Y Z ID Radius
3.95 -2.65388e-07 2.40987e-06 -1.44379e-07 2 1.1e-06
4 5.90195e-07 4.37965e-06 -1.39055e-07 0 1e-06
4 -1.17187e-06 3.91038e-06 -9.45627e-07 1 1e-07
4 -2.47974e-07 2.42872e-06 -1.37291e-07 2 1.1e-06
4.05 5.61385e-07 4.34527e-06 -1.41035e-07 0 1e-06
4.05 -1.15197e-06 3.95558e-06 -9.3436e-07 1 1e-07
4.05 -2.40646e-07 2.42221e-06 -1.43187e-07 2 1.1e-06
4.1 6.10878e-07 4.47336e-06 -1.15891e-07 0 1e-06
4.1 -1.15257e-06 3.99034e-06 -9.40724e-07 1 1e-07
4.1 -2.28317e-07 2.42666e-06 -1.3797e-07 2 1.1e-06
4.15 5.49e-07 4.4559e-06 -1.14495e-07 0 1e-06
4.15 -1.15524e-06 4.0341e-06 -9.4336e-07 1 1e-07
4.15 -2.15011e-07 2.43159e-06 -1.30488e-07 2 1.1e-06
4.2 5.3402e-07 4.44745e-06 -1.01228e-07 0 1e-06
4.2 -1.16184e-06 4.07711e-06 -9.67545e-07 1 1e-07
4.2 -2.08973e-07 2.45259e-06 -1.33719e-07 2 1.1e-06
4.25 5.19038e-07 4.43472e-06 -1.44573e-07 0 1e-06
4.25 -1.17483e-06 4.10452e-06 -9.96978e-07 1 1e-07
4.25 -2.03478e-07 2.47652e-06 -1.44383e-07 2 1.1e-06
4.3 5.4011e-07 4.55768e-06 -1.51462e-07 0 1e-06
4.3 -1.20535e-06 4.12052e-06 -1.00154e-06 1 1e-07
4.3 -1.99702e-07 2.50665e-06 -1.58866e-07 2 1.1e-06
4.35 5.40159e-07 4.6003e-06 -1.6269e-07 0 1e-06
4.35 -1.23149e-06 4.1203e-06 -9.97e-07 1 1e-07
4.35 -1.99389e-07 2.52165e-06 -1.7429e-07 2 1.1e-06
4.4 4.90053e-07 4.6827e-06 -1.28276e-07 0 1e-06
4.4 -1.22732e-06 4.09227e-06 -9.6312e-07 1 1e-07
4.4 -2.01222e-07 2.54082e-06 -1.93394e-07 2 1.1e-06
4.45 5.08715e-07 4.65521e-06 -1.53743e-07 0 1e-06
4.45 -1.23191e-06 4.05608e-06 -9.39549e-07 1 1e-07
4.45 -2.02627e-07 2.54959e-06 -2.07009e-07 2 1.1e-06
4.5 5.3936e-07 4.63712e-06 -1.42644e-07 0 1e-06
4.5 -1.22783e-06 4.02799e-06 -9.3554e-07 1 1e-07
