Time X Y Z ID Radius Species
1.6 -7.23852e-07 3.47615e-06 -4.70505e-06 7 1e-06 0
1.65 -7.67651e-07 -7.48409e-06 -3.43214e-06 0 1e-06 0
1.65 -1.57996e-06 -8.98879e-06 -2.11618e-06 1 1e-06 0
1.65 -2.67888e-06 -1.11062e-05 -2.24744e-06 2 1e-06 0
1.65 -3.37891e-06 -1.13003e-05 -4.32539e-06 3 1e-06 0
1.65 -1.39499e-06 -1.08556e-05 -4.67623e-06 4 1e-06 0
1.65 1.14068e-07 -1.12e-05 -2.95445e-06 5 1e-06 0
1.65 -8.38841e-07 6.18457e-06 -4.84554e-06 6 1e-06 0
1.65 -7.19228e-07 3.48e-06 -4.69232e-06 7 1e-06 0
1.7 -7.69831e-07 -7.47773e-06 -3.42304e-06 0 1e-06 0
1.7 -1.5583e-06 -9.0094e-06 -2.11817e-06 1 1e-06 0
1.7 -2.70368e-06 -1.10925e-05 -2.24042e-06 2 1e-06 0
1.7 -3.32256e-06 -1.13031e-05 -4.31178e-06 3 1e-06 0
1.7 -1.44402e-06 -1.08598e-05 -4.69575e-06 4 1e-06 0
1.7 1.14792e-07 -1.1208e-05 -2.97041e-06 5 1e-06 0
1.7 -8.4264e-07 6.17776e-06 -4.85287e-06 6 1e-06 0
1.7 -7.15785e-07 3.50023e-06 -4.68419e-06 7 1e-06 0
1.75 -7.69609e-07 -7.47604e-06 -3.40766e-06 0 1e-06 0
1.75 -1.54271e-06 -9.0353e-06 -2.12052e-06 1 1e-06 0
1.75 -2.72158e-06 -1.10709e-05 -2.24073e-06 2 1e-06 0
1.75 -3.28466e-06 -1.13109e-05 -4.28821e-06 3 1e-06 0
1.75 -1.47137e-06 -1.08634e-05 -4.71087e-06 4 1e-06 0
1.75 1.0739e-07 -1.12137e-05 -2.98869e-06 5 1e-06 0
1.75 -8.46024e-07 6.15737e-06 -4.8561e-06 6 1e-06 0
1.75 -7.11803e-07 3.53636e-06 -4.67781e-06 7 1e-06 0
1.8 -7.68656e-07 -7.4789e-06 -3.38966e-06 0 1e-06 0
1.8 -1.53148e-06 -9.06307e-06 -2.12494e-06 1 1e-06 0
1.8 -2.73216e-06 -1.10419e-05 -2.24363e-06 2 1e-06 0
1.8 -3.26576e-06 -1.13223e-05 -4.26467e-06 3 1e-06 0
1.8 -1.47521e-06 -1.087e-05 -4.72302e-06 4 1e-06 0
1.8 9.73099e-08 -1.12176e-05 -3.00427e-06 5 1e-06 0
1.8 -8.45605e-07 6.12678e-06 -4.85646e-06 6 1e-06 0
1.8 -7.06434e-07 3.58505e-06 -4.67485e-06 7 1e-06 0
1.85 -7.67958e-07 -7.48525e-06 -3.37104e-06 0 1e-06 0
1.85 -1.52626e-06 -9.08721e-06 -2.13326e-06 1 1e-06 0
1.85 -2.73797e-06 -1.10147e-05 -2.24826e-06 2 1e-06 0
1.85 -3.25684e-06 -1.1336e-05 -4.23897e-06 3 1e-06 0
1.85 -1.46009e-06 -1.08747e-05 -4.73351e-06 4 1e-06 0
1.85 8.08761e-08 -1.12237e-05 -3.02719e-06 5 1e-06 0
1.85 -8.41498e-07 6.08826e-06 -4.85743e-06 6 1e-06 0
1.85 -7.04265e-07 3.64688e-06 -4.67166e-06 7 1e-06 0
1.9 -7.63219e-07 -7.4973e-06 -3.35096e-06 0 1e-06 0
1.9 -1.5236e-06 -9.11447e-06 -2.13628e-06 1 1e-06 0
1.9 -2.74769e-06 -1.09842e-05 -2.25563e-06 2 1e-06 0
1.9 -3.25691e-06 -1.1355e-05 -4.20826e-06 3 1e-06 0
1.9 -1.43055e-06 -1.08775e-05 -4.74139e-06 4 1e-06 0
1.9 6.25785e-08 -1.12297e-05 -3.05453e-06 5 1e-06 0
1.9 -8.3602e-07 6.04657e-06 -4.85636e-06 6 1e-06 0
1.9 -6.97315e-07 3.71336e-06 -4.66887e-06 7 1e-06 0
1.95 -7.62139e-07 -7.50852e-06 -3.32711e-06 0 1e-06 0
1.95 -1.52372e-06 -9.14625e-06 -2.14584e-06 1 1e-06 0
